judge,method,presence,cardinality,layout_2d,depth_contact_occlusion,orientation_yaw,multi_relation,spatial_macro,case_exact,diagnostic_exact,normal_exact,hard_exact
visual,flux,0.9776951672862454,0.9182156133828996,0.6794871794871795,0.8194444444444445,0.5392857142857143,0.7906976744186046,0.7108220994122157,0.5053763440860215,0.6428571428571429,0.6153846153846154,0.16
visual,sdxl,0.8698884758364313,0.6877323420074349,0.3782051282051282,0.4583333333333333,0.3607142857142857,0.5813953488372093,0.42927927208450456,0.21505376344086022,0.2619047619047619,0.34615384615384615,0.0
visual,gligen,0.8736059479553904,0.8215613382899628,0.9038461538461539,0.6305555555555555,0.4214285714285715,0.813953488372093,0.6695212006985263,0.5268817204301075,0.6428571428571429,0.6923076923076923,0.16
visual,lmd_plus,0.9070631970260223,0.8327137546468402,0.8461538461538461,0.325,0.37142857142857144,0.6511627906976745,0.5076659532328136,0.3763440860215054,0.47619047619047616,0.5,0.08
visual,boxdiff_xl,0.6505576208178439,0.6505576208178439,0.21794871794871795,0.3361111111111111,0.3,0.5581395348837209,0.32529628801431126,0.16129032258064516,0.23809523809523808,0.19230769230769232,0.0
visual,muses_qwen_rgb,0.9330855018587361,0.9330855018587361,0.9230769230769231,0.7861111111111111,0.8392857142857143,0.8372093023255814,0.8400334887980236,0.7204301075268817,0.8333333333333334,0.8076923076923077,0.44
visual,muses_qwen_sdxl,0.9368029739776952,0.7620817843866171,0.8269230769230769,0.8416666666666667,0.7071428571428571,0.7441860465116279,0.792164739330437,0.4946236559139785,0.7142857142857143,0.46153846153846156,0.16
visual,muses_qwen_rgb_qwen_i2i,0.9442379182156134,0.9256505576208178,0.8205128205128205,0.8583333333333334,0.8892857142857142,0.7906976744186046,0.8481618430019592,0.7634408602150538,0.9285714285714286,0.8076923076923077,0.44
visual,t2i_blender,0.9702602230483272,0.966542750929368,0.8974358974358975,0.9444444444444445,0.75,0.9069767441860465,0.8793977340488969,0.7849462365591398,0.8333333333333334,0.9615384615384616,0.52
visual,t2i_blender_qwen,0.9851301115241635,0.9702602230483272,0.9615384615384616,0.9555555555555556,0.8035714285714286,0.9767441860465116,0.9217038291166199,0.8279569892473119,0.9523809523809523,0.9230769230769231,0.52
qwen32_diagnostic,flux,0.9814126394052045,0.9107806691449815,0.8846153846153846,0.8888888888888888,0.7142857142857143,0.8604651162790697,0.8406167475934917,0.6236559139784946,0.7857142857142857,0.6923076923076923,0.28
qwen32_diagnostic,sdxl,0.862453531598513,0.7286245353159851,0.46153846153846156,0.5694444444444445,0.5821428571428572,0.4883720930232558,0.5355085079649033,0.22580645161290322,0.40476190476190477,0.15384615384615385,0.0
qwen32_diagnostic,gligen,0.895910780669145,0.8104089219330854,0.8846153846153846,0.6333333333333333,0.6392857142857142,0.7674418604651163,0.7144055072834141,0.5161290322580645,0.6666666666666666,0.6538461538461539,0.12
qwen32_diagnostic,lmd_plus,0.9033457249070632,0.8215613382899628,0.8461538461538461,0.5083333333333333,0.5214285714285715,0.627906976744186,0.6110089764886277,0.45161290322580644,0.6190476190476191,0.5,0.12
qwen32_diagnostic,boxdiff_xl,0.724907063197026,0.7211895910780669,0.5064102564102564,0.45555555555555555,0.49642857142857144,0.4186046511627907,0.47386862168838917,0.26881720430107525,0.40476190476190477,0.3076923076923077,0.0
qwen32_diagnostic,muses_qwen_rgb,0.9330855018587361,0.9330855018587361,0.9615384615384616,0.8388888888888889,0.6678571428571429,0.627906976744186,0.8004206065252577,0.6451612903225806,0.8095238095238095,0.6923076923076923,0.32
qwen32_diagnostic,muses_qwen_sdxl,0.9368029739776952,0.828996282527881,0.9423076923076923,0.7222222222222223,0.7321428571428572,0.7209302325581395,0.7795622497657381,0.4838709677419355,0.7380952380952381,0.38461538461538464,0.16
qwen32_diagnostic,muses_qwen_rgb_qwen_i2i,0.9479553903345725,0.9479553903345725,0.7371794871794872,0.8250000000000001,0.8392857142857143,0.7441860465116279,0.7965145561802539,0.6666666666666666,0.8333333333333334,0.6538461538461539,0.4
qwen32_diagnostic,t2i_blender,0.9516728624535316,0.9405204460966543,0.858974358974359,0.7916666666666666,0.7928571428571429,0.9069767441860465,0.8232049684811313,0.7096774193548387,0.8571428571428571,0.8461538461538461,0.32
qwen32_diagnostic,t2i_blender_qwen,0.9702602230483272,0.9591078066914498,0.858974358974359,0.8805555555555555,0.8071428571428572,0.9534883720930233,0.8659236838742653,0.7634408602150538,0.9285714285714286,0.8846153846153846,0.36
