judge,method,presence,cardinality,layout_2d,depth_contact_occlusion,orientation_yaw,composition,spatial_macro,case_exact,diagnostic_exact,normal_exact,hard_exact
visual,flux,0.9846625766871165,0.9294478527607362,0.6933333333333334,0.9824561403508771,0.5,0.8372093023255814,0.77140554875561,0.5888888888888889,0.6666666666666666,0.7551020408163265,0.34285714285714286
visual,sdxl,0.8374233128834356,0.6503067484662577,0.4666666666666667,0.5132163742690058,0.2647058823529412,0.5581395348837209,0.44506671946624426,0.13333333333333333,0.16666666666666666,0.22448979591836735,0.0
visual,gligen,0.9171779141104295,0.8374233128834356,0.88,0.7615789473684211,0.3235294117647059,0.7906976744186046,0.68531166750666,0.4666666666666667,0.6666666666666666,0.6122448979591837,0.22857142857142856
visual,lmd_plus,0.901840490797546,0.8220858895705522,0.8200000000000001,0.5477777777777778,0.3235294117647059,0.6976744186046512,0.5785083219334246,0.4,1.0,0.46938775510204084,0.2
visual,boxdiff_xl,0.6687116564417178,0.6165644171779141,0.30333333333333334,0.4547953216374269,0.2647058823529412,0.37209302325581395,0.35906967744258045,0.1111111111111111,0.16666666666666666,0.1836734693877551,0.0
visual,muses_qwen_rgb,0.9171779141104295,0.9171779141104295,0.94,0.764093567251462,0.5294117647058824,0.8372093023255814,0.7585391916864666,0.6111111111111112,1.0,0.6938775510204082,0.42857142857142855
visual,muses_qwen_sdxl,0.9263803680981595,0.7760736196319018,0.88,0.7569590643274854,0.411764705882353,0.813953488372093,0.7085450116399068,0.4,0.8333333333333334,0.46938775510204084,0.22857142857142856
visual,muses_qwen_rgb_qwen_i2i,0.9202453987730062,0.9049079754601227,0.7966666666666666,0.7918713450292397,0.5882352941176471,0.7674418604651163,0.7391074771401829,0.5777777777777777,0.8333333333333334,0.6938775510204082,0.37142857142857144
visual,t2i_blender_rgb,0.9539877300613497,0.9539877300613497,0.8766666666666667,0.9135672514619883,0.8529411764705882,0.8604651162790697,0.882547819617443,0.8111111111111111,0.8333333333333334,0.9591836734693877,0.6
visual,t2i_blender_qwen,0.9693251533742331,0.9601226993865031,0.96,0.9135672514619883,0.8235294117647058,0.8837209302325582,0.8989351885184919,0.8,1.0,0.9183673469387755,0.6
qwen32_diagnostic,flux,0.9877300613496932,0.9601226993865031,0.9199999999999999,0.831345029239766,0.47058823529411764,0.813953488372093,0.7611456308349533,0.5555555555555556,1.0,0.6326530612244898,0.37142857142857144
qwen32_diagnostic,sdxl,0.8957055214723927,0.8190184049079755,0.42666666666666664,0.4680701754385965,0.3823529411764706,0.6976744186046512,0.4649905200758394,0.2111111111111111,0.3333333333333333,0.32653061224489793,0.02857142857142857
qwen32_diagnostic,gligen,0.9478527607361963,0.901840490797546,0.9,0.5169005847953215,0.38235294117647056,0.8837209302325582,0.6248910708714331,0.4444444444444444,0.6666666666666666,0.5306122448979592,0.2857142857142857
qwen32_diagnostic,lmd_plus,0.9539877300613497,0.9049079754601227,0.9,0.56,0.3235294117647059,0.8604651162790697,0.6234404924760603,0.4777777777777778,1.0,0.5102040816326531,0.34285714285714286
qwen32_diagnostic,boxdiff_xl,0.8282208588957055,0.8251533742331288,0.7366666666666667,0.591812865497076,0.411764705882353,0.6046511627906976,0.5846190630474957,0.32222222222222224,0.8333333333333334,0.46938775510204084,0.02857142857142857
qwen32_diagnostic,muses_qwen_rgb,0.9785276073619632,0.9785276073619632,0.8566666666666667,0.7655555555555554,0.4117647058823529,0.7906976744186046,0.7030283857729138,0.6,0.8333333333333334,0.6530612244897959,0.4857142857142857
qwen32_diagnostic,muses_qwen_sdxl,0.9570552147239264,0.901840490797546,0.9,0.5945029239766082,0.47058823529411764,0.8604651162790697,0.6731437948496412,0.4444444444444444,1.0,0.5102040816326531,0.2571428571428571
qwen32_diagnostic,muses_qwen_rgb_qwen_i2i,0.99079754601227,0.9877300613496932,0.7533333333333333,0.6924561403508772,0.5,0.9534883720930233,0.6921904324765402,0.6333333333333333,0.6666666666666666,0.6530612244897959,0.6
qwen32_diagnostic,t2i_blender_rgb,0.9478527607361963,0.9478527607361963,0.7966666666666666,0.6513450292397661,0.5294117647058824,0.8837209302325582,0.6862391100871192,0.5777777777777777,0.8333333333333334,0.7142857142857143,0.34285714285714286
qwen32_diagnostic,t2i_blender_qwen,0.9693251533742331,0.9631901840490797,0.7766666666666666,0.6966666666666667,0.47058823529411764,0.8837209302325582,0.6835288417692658,0.5666666666666667,0.8333333333333334,0.6530612244897959,0.4
